               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 141,            0.019713,           0.0063682,           0.0013079,             0.53402,             0.64286,             0.59466,             0.23553,            0.014445,            0.024818,           0.0004921,            0.009538,            0.009538,            0.009538
                 142,            0.026199,           0.0095297,           0.0019885,             0.53402,             0.64286,             0.59466,             0.23553,            0.014445,            0.024818,           0.0004921,           0.0095347,           0.0095347,           0.0095347
                 143,            0.027093,           0.0070527,            0.001944,             0.55458,             0.64286,              0.6441,             0.41116,           0.0097401,             0.02426,          0.00047264,           0.0095314,           0.0095314,           0.0095314
                 144,            0.018095,            0.008167,           0.0014136,             0.55458,             0.64286,              0.6441,             0.41116,           0.0097401,             0.02426,          0.00047264,           0.0095281,           0.0095281,           0.0095281
                 145,            0.029371,           0.0061361,           0.0024327,             0.53192,             0.64286,             0.61144,             0.26079,            0.015142,            0.023821,          0.00048904,           0.0095248,           0.0095248,           0.0095248
                 146,            0.026039,           0.0074089,           0.0019487,             0.53192,             0.64286,             0.61144,             0.26079,            0.015142,            0.023821,          0.00048904,           0.0095215,           0.0095215,           0.0095215
                 147,             0.02645,           0.0076011,           0.0018105,             0.55995,             0.64286,             0.61018,             0.42198,           0.0092026,            0.024446,          0.00050583,           0.0095182,           0.0095182,           0.0095182
                 148,            0.017552,           0.0075625,           0.0014602,             0.55995,             0.64286,             0.61018,             0.42198,           0.0092026,            0.024446,          0.00050583,           0.0095149,           0.0095149,           0.0095149
                 149,            0.018676,           0.0052084,            0.001394,             0.56026,             0.64286,             0.60166,             0.24497,            0.013813,            0.024179,          0.00057793,           0.0095116,           0.0095116,           0.0095116
                 150,            0.029516,           0.0079441,           0.0023271,             0.56026,             0.64286,             0.60166,             0.24497,            0.013813,            0.024179,          0.00057793,           0.0095083,           0.0095083,           0.0095083
                 151,            0.025102,           0.0075632,           0.0020099,              0.5582,             0.64286,             0.61691,             0.41448,             0.00911,            0.024964,          0.00052605,            0.009505,            0.009505,            0.009505
